matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499803,1613,417,7,3,13,74,32,517,345,855,437,0.8273,0.4286,0.9542,1628,1,0,away,Newcastle United,Win,2
2499803,1628,344,7,0,15,59,18,442,261,693,366,0.7587,0.0,0.9399,1613,0,1,home,Crystal Palace,Loss,0
2499804,1619,591,19,6,10,69,10,686,494,965,620,0.8359,0.3158,0.9532,1627,1,0,away,Southampton,Win,2
2499804,1627,269,6,2,8,71,26,371,199,696,283,0.7398,0.3333,0.9505,1619,0,1,home,West Bromwich Albion,Loss,0
2499805,1639,397,13,4,17,64,9,494,297,767,427,0.7481,0.3077,0.9297,1659,1,2,away,Stoke City,Loss,0
2499805,1659,349,5,2,10,68,23,440,268,825,364,0.7679,0.4,0.9588,1639,2,1,home,AFC Bournemouth,Win,2
2499806,1631,365,11,7,9,75,17,458,284,805,385,0.7781,0.6364,0.9481,10531,2,1,away,Leicester City,Win,2
2499806,10531,466,19,4,6,60,12,590,396,846,491,0.8498,0.2105,0.9491,1631,1,2,home,Swansea City,Loss,0
2499807,1612,620,12,7,8,78,8,718,539,1031,640,0.8694,0.5833,0.9688,1624,1,4,home,Liverpool,Loss,0
2499807,1624,330,12,6,2,78,23,458,265,684,344,0.803,0.5,0.9593,1612,4,1,away,Tottenham Hotspur,Win,2
2499808,1633,593,14,2,5,45,5,703,500,932,612,0.8432,0.1429,0.969,1651,0,3,away,West Ham United,Loss,0
2499808,1651,323,6,4,12,78,28,422,258,749,341,0.7988,0.6667,0.9472,1633,3,0,home,Brighton & Hove Albion,Win,2
2499809,1610,645,17,5,5,76,9,744,564,972,667,0.8744,0.2941,0.967,1659,1,0,away,Chelsea,Win,2
2499809,1659,451,6,1,6,55,15,552,393,862,463,0.8714,0.1667,0.9741,1610,0,1,home,AFC Bournemouth,Loss,0
2499810,1609,777,18,6,9,59,10,853,697,1067,804,0.897,0.3333,0.9664,10531,2,1,home,Arsenal,Win,2
2499810,10531,276,5,2,9,39,17,357,217,634,290,0.7862,0.4,0.9517,1609,1,2,away,Swansea City,Loss,0
2499811,1619,438,6,1,11,73,11,531,357,862,455,0.8151,0.1667,0.9626,1651,1,1,away,Southampton,Draw,1
